"","V1"
"'8 Mile' Left Behind.txt",16
"'97 Bonnie and Clyde.txt",19
"'Cuz I Can [DVD].txt",4
"(And She Said) Take Me Now [feat. Janet Jackson].txt",12
"(I Like) the Way You Love Me.txt",13
"***Flawless.txt",6
"1 King [Chopped and Screwed].txt",1
"1+1.txt",13
"10 Bands.txt",12
"100 Million.txt",9
"18 Wheeler [DVD].txt",2
"18 Wheeler [DVD][Live].txt",2
"2 + 2 = 5 (The Lukewarm.).txt",16
"2 + 2 = 5 (The Lukewarm).txt",16
"2 On.txt",13
"21 Guns.txt",17
"21st Century Breakdown.txt",6
"25 to Life.txt",7
"3 A.M..txt",16
"313.txt",16
"4 Minute Warning [*].txt",20
"4 Minute Warning.txt",2
"5 Deadly Venomz.txt",4
"50 Cent's a Clown.txt",1
"500 Degreez.txt",1
"6 Foot 7 Foot .txt",18
"6 Foot 7 Foot [Edited Version].txt",18
"6 God.txt",8
"6 Inch (feat. The Weeknd).txt",9
"6 Man.txt",12
"6PM In New York.txt",12
"8 Mile Left Behind.txt",16
"8 Mile Movie Trailer [Multimedia Track].txt",16
"8. Kapitel, ""My Name Is"".txt",16
"88 Shots.txt",1
"97 Bonnie and Clyde.txt",19
"97' Bonnie and Clyde.txt",19
"A Place with No Name.txt",14
"A.D.H.D.txt",9
"ABC.txt",5
"Abortion.txt",6
"Act a A.txt",1
"Act a A**.txt",1
"Adhd.txt",9
"Ain't I.txt",8
"Ain't Sayin' Nothin' [Remix].txt",8
"Ain't That a Bi**h.txt",1
"All Around the World.txt",11
"All Bout U.txt",6
"All Fall Down.txt",20
"All Falls Down [*].txt",18
"All Falls Down.txt",18
"All I Want for Christmas Is You (SuperFestive!) [Duet with Mariah Carey.txt",5
"All I Want for Christmas Is You (Superfestive!) Duet with Mariah Carey.txt",5
"All I Want For Christmas Is You.txt",5
"All I Want Is You.txt",5
"All In It.txt",20
"All In One Swipe.txt",18
"All Me.txt",1
"All Night.txt",13
"All She Wrote [Solo Version].txt",18
"All That Matters.txt",15
"All the Right Moves.txt",10
"All' Bout U.txt",6
"Almost Famous.txt",16
"Almost Haunted.txt",16
"Alright.txt",6
"Always Strapped [Remix].txt",9
"Always Strapped.txt",9
"Amazing.txt",18
"American Oxygen.txt",17
"American Star.txt",1
"American Superstar.txt",1
"Amusement Park.txt",5
"Amy.txt",2
"Another One Bites the Dust (Remix).txt",15
"Another One Bites the Dust [*].txt",15
"Another One Bites the Dust [Live].txt",15
"Another One Bites the Dust [PCM Stereo].txt",15
"Another One Bites the Dust.txt",15
"Another Part of Me.txt",3
"Apologize [Onerepublic Version].txt",7
"Apologize [Timbaland Remix][*].txt",7
"Are We All We Are.txt",7
"As Long as You Love Me.txt",13
"As Real As You and Me.txt",7
"Ask Dem Hoes.txt",1
"Ask Them Hoes.txt",1
"At Last.txt",15
"Au Revoir.txt",20
"Ave Maria.txt",7
"Ave Mary A.txt",3
"Average Joe.txt",16
"Ay Bay Bay.txt",9
"B***h Please.txt",1
"Baby [Acoustic Version].txt",5
"Baby [Acoustic] [Version].txt",5
"Baby Be Mine.txt",13
"Baby Powder.txt",10
"Baby.txt",5
"Back on the Block [Remix].txt",7
"Backpack.txt",14
"Backstabber.txt",14
"Bad [Enhanced Stereo][Multimedia Track].txt",10
"Bad [Multimedia Track].txt",10
"Bad [Single].txt",10
"Bad Influence 2.txt",3
"Bad Influence.txt",16
"Bad News.txt",17
"Bad.txt",10
"Ballin [Remix].txt",1
"Bang Bang Bang.txt",1
"Bang Bang.txt",1
"Bangarang.txt",14
"Bangers + Mash [*].txt",16
"Bangers + Mash.txt",16
"Basket Case [Multimedia Track].txt",2
"Basket Case.txt",2
"Be Alright.txt",13
"Be My Girlfriend.txt",11
"Be with You [DVD].txt",13
"Be with You.txt",13
"Beam Me Up.txt",20
"Beat It [*][Multimedia Track].txt",10
"Beat It [#].txt",10
"Beat It [#][*].txt",10
"Beat It [Multimedia Track].txt",10
"Beat It [Radio Edit].txt",10
"Beat It.txt",10
"Beautiful Liar [Freemasons Remix Edit].txt",3
"Beautiful Liar [Original Version].txt",3
"Beautiful Liar akira.txt",3
"Beautiful Pain [*].txt",20
"Beautiful Pain.txt",20
"Beautiful.txt",16
"Beauty and a Beat.txt",3
"Bedrock.txt",14
"Been You.txt",17
"Before the Lobotomy.txt",7
"Believe That.txt",1
"Believe.txt",7
"Ben [From ""Ben""].txt",20
"Ben [Live].txt",20
"Ben.txt",20
"Best I Ever Had [*].txt",19
"Best I Ever Had [Clean].txt",19
"Best I Ever Had.txt",19
"Best Rapper Alive.txt",9
"Best Thing I Never Had.txt",19
"Beyoncé - Solo Artist [*][Multimedia Track].txt",5
"Bicycle Race.txt",6
"Big Brother.txt",4
"Big Dog Status.txt",12
"Big Tigger Live on the Radio.txt",1
"Bigger.txt",18
"Billie Jean [From Motown 25: Yesterday, Today, And Forever].txt",11
"Billie Jean [Kanye West Mix].txt",11
"Billie Jean [Kanye West Mix][#].txt",11
"Billie Jean 2008 [#][*].txt",11
"Billie Jean 2008 [Single Version].txt",11
"Billie Jean 2008.txt",11
"Billie Jean.txt",11
"Bills, Bills, Bills [Blu-Ray].txt",9
"Billy Jean.txt",11
"Birthday Cake.txt",9
"Bitch Better Have My Money.txt",1
"Bitch Please.txt",1
"Bitches Love Me.txt",1
"Biznite.txt",8
"Black Cotton.txt",6
"Black or White [Album Version].txt",15
"Black or White [Enhanced Stereo][Multimedia Track].txt",15
"Black or White [Multimedia Track].txt",15
"Black or White [Tribal Beats].txt",15
"Black or White.txt",15
"Black Skinhead.txt",6
"Blame It On the Boogie [*].txt",12
"Blame It on the Boogie.txt",12
"Block Is Hot [Screwed and Chopped].txt",1
"Block Is Hot.txt",1
"Bloodline [Screwed and Chopped].txt",1
"Bloodline.txt",1
"Blow Me (One Last Kiss).txt",7
"Blow Me (One Last Kiss].txt",7
"Blue Gangsta.txt",20
"Blue Ocean Floor.txt",20
"Blue.txt",17
"Blunt Blowin.txt",1
"BM J.R. [Screwed and Chopped].txt",1
"BM J.R..txt",1
"Bohemian Rhapsody [*].txt",3
"Bohemian Rhapsody [Imágenes del Musical][Multimedia Track].txt",3
"Bohemian Rhapsody [Instrumental].txt",3
"Bohemian Rhapsody [Multimedia Track].txt",3
"Bohemian Rhapsody [PCM Stereo].txt",3
"Bohemian Rhapsody.txt",3
"Bonnie and Clyde '03y].txt",3
"Bonnie and Clyde.txt",3
"Boom.txt",1
"Bootylicious [Blu-Ray].txt",5
"Bootylicious [DVD].txt",5
"Born To Be Somebody [Album Version] [Version].txt",20
"Born to be Somebody.txt",20
"Boulevard of Broken Dreams [DVD].txt",17
"Boulevard of Broken Dreams.txt",17
"Bow Chicka Wow Wow.txt",18
"Brain Stew [Multimedia Track].txt",17
"Brain Stew.txt",17
"Brand New [Remix].txt",8
"Brand New.txt",9
"Breakin' a Sweat.txt",14
"Breakn' A Sweat.txt",14
"Brenda's Got a Baby.txt",12
"Bridge of Light.txt",14
"Bring It Back [Screwed and Chopped].txt",9
"Bring It Back.txt",9
"Broken Hearted Girl.txt",13
"Broken-Hearted Girl.txt",13
"Bug a Boo [Blu-Ray].txt",17
"Bullet Proof.. I Wish I Was.txt",16
"Bullet Proof... I Wish I Was.txt",16
"Bullet Proof...I Wish I Was.txt",16
"Bullet Proof.I Wish I Was.txt",16
"Bully.txt",16
"Burn the Witch.txt",20
"Burn This City.txt",1
"Burn This Disco Out.txt",2
"Burnout.txt",16
"California King Bed.txt",18
"California Love [Original Version].txt",6
"California Love.txt",18
"Calm.txt",16
"Can I Bitch.txt",16
"Can I Live Freestyle.txt",1
"Can You Feel It [*].txt",17
"Can You Feel It [Album Version].txt",17
"Can You Feel It.txt",17
"Can-I-Bitch.txt",16
"CAN'T STOP THE FEELING! (Original Song From DreamWorks Animation's ""Tro.txt",2
"Can't stop the feeling!.txt",2
"Can't Stop.txt",7
"Can't Take Me Home.txt",13
"Can't Tell Me Nothing.txt",8
"Can’T Stop.txt",7
"Cannon AMG Remix.txt",1
"Cannon, Pt. 3 [New Verses].txt",1
"Careful What You Wish For.txt",16
"Carpe Diem.txt",6
"Carter 3 Is Coming (Grand Closing).txt",15
"Catching Feelings.txt",7
"Cater 2 U [Blu-Ray].txt",13
"Caught Up in You.txt",18
"Cece's Interlude.txt",5
"Cece’s Interlude.txt",5
"Centerfold [*].txt",3
"Centerfold.txt",18
"Chained.txt",2
"Champion.txt",8
"Changes [Radio Edit].txt",6
"Check on It          Prince Mix].txt",12
"Childhood (Theme From Free Willy 2).txt",17
"Childhood [Theme from ""Free Willy 2""].txt",17
"Childhood [Theme From Free Willy 2].txt",17
"Childhood.txt",17
"Children.txt",10
"Christian's Inferno.txt",20
"Christian’s Inferno.txt",20
"Christians Inferno.txt",20
"Christmas Eve.txt",5
"Christmas Love.txt",5
"Christmas Song (Chestnuts Roasting On An Open Fire).txt",5
"Christmas Song.txt",5
"Christy Road.txt",14
"Chump [Live].txt",3
"Chump [Live][#].txt",7
"Chump.txt",2
"Cigarettes and Valentines.txt",20
"Cinderella Man.txt",16
"Cleanin out My Closet [Uncensored Video].txt",16
"Cleanin' Out My Closet [Music Video].txt",16
"Cleaning out My Closet.txt",16
"Close to You.txt",12
"Closer to My Dreams.txt",9
"Cold Case Love.txt",13
"Coldest Winter.txt",20
"Come On [Featuring B.G.].txt",1
"Come Thru.txt",2
"Comfortable [Ft. Babyface].txt",19
"Comfortable.txt",19
"Coming Clean.txt",19
"Common Denominator.txt",20
"Company (feat. Travi$ Scott).txt",12
"Company.txt",17
"Complicated.txt",13
"Countdown.txt",13
"Counting Stars.txt",7
"Crack House.txt",16
"Crack Rock.txt",2
"Crank That Batman [Remix].txt",9
"Crazy in Love        Fanfare) Fanfare) [Blu-Ray].txt",12
"Crazy in Love [*].txt",12
"Crazy in Love.txt",12
"Creole.txt",2
"Crew Love.txt",9
"Cry [Steve Mac Classic Mix] [*].txt",7
"Cry [Steve Mac Classic Mix].txt",7
"Cry Me a River [Original Version].txt",7
"Cry Me a River.txt",7
"Cryin' Out for Me [Remix].txt",7
"Cryin'.txt",8
"Crying Out for Me [Remix].txt",7
"Crystal Ball.txt",7
"Curtains Close.txt",16
"Cut Your Teeth.txt",7
"Cutty Buddy.txt",18
"D**k Pleaser.txt",1
"Daddy Lessons.txt",19
"Daily Mail.txt",7
"Dance for You [Video].txt",5
"Dance For You.txt",5
"Dancing In the Dark.txt",2
"Dangerous [Demo Version].txt",11
"Dangerous.txt",11
"Dangerously in Love [DVD][Live].txt",13
"Daydreaming.txt",13
"Decks Dark.txt",20
"Dedication To My Ex.txt",1
"Deja Vu              Prince Mix].txt",18
"Deja Vu Jazz Medley.txt",18
"Déjà Vu.txt",18
"Desert Island Disk.txt",15
"Diamonds and Girls.txt",11
"Dirty Diana [Album Version].txt",11
"Dirty Diana [DVD].txt",11
"Dirty Diana [Multimedia Track].txt",11
"Dirty Diana.txt",11
"Disappear.txt",10
"Disturbia [Jody Den Broeder Bum Bum Dub].txt",20
"Do You Know Where Your Children Are.txt",10
"Doe Rae Me.txt",1
"Doing It Wrong.txt",10
"Don't Hold The Wall.txt",2
"Don't Hurt Yourself (feat. Jack White).txt",3
"Don't Stop 'Til You Get Enough.txt",2
"Don't Stop the Music [Album Version].txt",2
"Don't Stop the Music [Jody Den Broeder].txt",2
"Don't Stop the Music [Multimedia Track].txt",2
"Don't Stop the Music.txt",2
"Dontgetiti.txt",6
"Doo Rags.txt",6
"Down Is the New Up [*].txt",8
"Down Is the New Up.txt",8
"Down To Earth.txt",7
"Down.txt",20
"Dr. Carter [Acapella].txt",12
"Dr. West (Skit).txt",16
"Dr. West [Skit].txt",16
"Drop The World.txt",1
"Drummer Boy (feat. Busta Rhymes).txt",5
"Drummer Boy.txt",5
"Drunk On Love.txt",13
"Duffle Bag Boy [Ft. Juelz Santana Playe].txt",8
"Ease My Mind.txt",13
"East Jesus Nowhere.txt",20
"Eenie Meenie.txt",17
"Eenie Mini.txt",17
"Ego [*].txt",12
"Ego.txt",12
"Eminem Man.txt",16
"End of Time.txt",15
"Enemy Turf [Featuring Juvenile].txt",1
"Epsilon.txt",10
"Every Girl.txt",18
"Everything [Screwed and Chopped].txt",6
"Everything I Am.txt",8
"Everything.txt",6
"Exit Music.txt",2
"Exquisite.txt",15
"F.O.D..txt",7
"F*** Tha World.txt",1
"F*** You.txt",1
"F**k That.txt",5
"F**k Wit Me Now.txt",1
"F**kin' Perfect.txt",20
"Fa La La (feat. Boyz II Men).txt",5
"Fa La La.txt",5
"Fack.txt",1
"Fading.txt",6
"Faith.txt",6
"Fake Plastic Trees [DVD].txt",3
"Fake Plastic Trees [Promo Video].txt",3
"Fake Plastic Trees.txt",3
"Fall.txt",20
"Fancy.txt",12
"Favorite Girl [Live].txt",11
"Favorite Girl.txt",11
"Fear.txt",17
"Feel Again.txt",17
"Feel Like Dying.txt",18
"Feral.txt",12
"Fever.txt",13
"Final Goodbye.txt",7
"Fire Bomb [Explicit Version].txt",20
"Fireman [Screwed and Chopped].txt",1
"Firestone (feat. Conrad Sewell).txt",20
"Fireworks.txt",7
"First Dance.txt",7
"First of the Year (Equinox).txt",5
"Flashing Lights.txt",20
"Flaws and All [Blu-Ray].txt",5
"Fo Sheezy.txt",1
"Fod.txt",7
"For Free?.txt",6
"Forrest Gump.txt",15
"Forward (feat. James Blake).txt",8
"Fragile.txt",13
"Freakum Dress        Fanfare) Fanfare) [Blu-Ray].txt",12
"Freedom (feat. Kendrick Lamar).txt",6
"Fresh Off the Runway.txt",10
"Friends and Money.txt",9
"Fuck All Y'all.txt",6
"Fuck tha World.txt",1
"Fuck the World.txt",1
"Fuckin' Perfect.txt",20
"Ful Stop.txt",8
"Funhouse.txt",20
"Gangsta and Pimps.txt",1
"Gangsta S***.txt",1
"Georgia...Bush.txt",9
"Get 'Em.txt",1
"Get Bizzy.txt",1
"Get Em.txt",1
"Get It On.txt",11
"Get Like Me.txt",1
"Get Low.txt",2
"Get Money.txt",14
"Get Off The Corner [Screwed and Chopped].txt",4
"Get Off The Corner.txt",4
"Get That Dough.txt",1
"Get Used To It.txt",8
"Gettin Some Head.txt",1
"Ghetto Gospel.txt",6
"Girls All Around.txt",11
"Girls Around the World.txt",11
"Glass Eyes.txt",2
"Glitter in the Air.txt",20
"Go DJ [Screwed and Chopped].txt",1
"Go Hard.txt",1
"Go Slowly [*].txt",14
"Go Slowly.txt",20
"God Bless Amerika.txt",6
"Going To Pasalacqua.txt",14
"Going to Pasalaqua.txt",14
"Gonerrhea [Explicit Version].txt",18
"Gonorrhea [Explicit Version].txt",18
"Good Girl Gone Bad [Soul Seekerz].txt",2
"Good Girl Gone Bad.txt",2
"Good Kush And Alcohol.txt",1
"Good Life 2.txt",12
"Good Life.txt",12
"Good Morning.txt",6
"Good Night.txt",7
"Good Riddance (Time of You Life).txt",7
"Good Riddance (Time Of Your Life ).txt",7
"Good Riddance (Time of Your Life) [Non LP Track].txt",7
"Good Riddance (Time of Your Life).txt",7
"Goodnight Gotham.txt",5
"Gossip [*].txt",9
"Gossip [Official Version].txt",9
"Gossip [Remix].txt",9
"Gossip.txt",9
"Got Monet.txt",1
"Got Money [Remix].txt",1
"Got The Keys.txt",2
"Great Escape.txt",20
"Green Light          Fanfare) Fanfare) [Blu-Ray].txt",20
"Green Ranger.txt",1
"Grindin All My Life.txt",6
"Gunwalk.txt",1
"Hail Mary [Rock Remix].txt",6
"Happy Birthday (feat. John Legend).txt",13
"Hard [Explicit Version].txt",15
"Hard.txt",15
"Hate Sleeping Alone [*].txt",17
"Hate That I Love You [K-Klassic Remix] [*].txt",13
"Hate That I Love You [K-Klassic Remix].txt",13
"Haters.txt",18
"Haunted [Steve Mac Classic Mix] [*].txt",17
"Haunted [Steve Mac Classic Mix].txt",17
"Haunted.txt",17
"Having a Blast.txt",7
"Headlights.txt",6
"Headlines.txt",10
"Heard 'Em Say [DVD].txt",20
"Heard 'Em Say [Michael Gondry Video].txt",20
"Heartbreak Down.txt",18
"Heartbreaker [*].txt",13
"Heartbreaker 2.txt",3
"Heartless.txt",8
"Heat.txt",1
"Heaven Ain't Hard to Find.txt",6
"Heaven.txt",5
"Hell Breaks Loose.txt",16
"Hello [*].txt",18
"Hello Brooklyn [Ft. Jay-Z].txt",18
"Hello.txt",18
"Help.txt",3
"Here Comes The Weekend.txt",2
"Here for You (feat. Ella Henderson).txt",20
"Hero.txt",4
"Hey Lil' Mama [Remix].txt",1
"High and Dry.txt",19
"High Beamin' [Featuring B.G.].txt",1
"High Beamin'.txt",9
"Hit Me Up.txt",1
"Hit U Up.txt",1
"Hitchin'a Ride.txt",5
"Hoes and Ladies.txt",1
"Hoes.txt",1
"Hold On, We're Going Home.txt",3
"Hold On, We’re Going Home.txt",3
"Hold Up.txt",13
"Home This Christmas (feat. The Band Perry).txt",5
"Horseshoes and Handgrenades.txt",7
"Hot Revolver.txt",12
"Hotline Bling.txt",8
"Houstatlantavegas.txt",11
"HYFR (Hell Ya F*****g Right).txt",18
"HYFR.txt",19
"I Can't Take No More.txt",7
"I Cant Take No More.txt",7
"I Care.txt",13
"I Don't Believe You [DVD].txt",7
"I Don't Believe You.txt",7
"I Have Seen the Rain [*].txt",7
"I Have Seen the Rain.txt",7
"I Lived.txt",7
"I Love You More.txt",13
"I Miss You.txt",17
"I Wanna Be Where You Are.txt",14
"I Was Here.txt",13
"I Would [Album Version] [Version].txt",10
"I Would.txt",14
"i.txt",13
"I'll Show You.txt",3
"I'm Back.txt",9
"I'm Going In.txt",1
"I'm Leaving.txt",13
"ID (Ultra Music Festival Anthem).txt",10
"Identikit.txt",13
"If I Ruled the World (Imagine That) [Album Version].txt",6
"If I Ruled the World (Imagine That).txt",6
"If.txt",3
"In the End.txt",2
"India Rubber [*].txt",9
"India Rubber.txt",9
"Infinite.txt",16
"Insane.txt",1
"Institutionalized (feat. Bilal, Anna Wise & Snoop Dogg).txt",6
"Intro.txt",3
"Irreplaceable [Album Version].txt",8
"Irreplaceable [Blu-Ray].txt",8
"Irreplaceable.txt",8
"It's a Shame.txt",20
"It's All Your Fault.txt",2
"JayZ_American Gangster_American Dreamin.txt",18
"JayZ_American Gangster_American Gangster.txt",4
"JayZ_American Gangster_Blue Magic.txt",9
"JayZ_American Gangster_Fallin.txt",18
"JayZ_American Gangster_Hello Brooklyn 20.txt",18
"JayZ_American Gangster_I Know.txt",10
"JayZ_American Gangster_Ignorant Shit.txt",1
"JayZ_American Gangster_Intro.txt",4
"JayZ_American Gangster_No Hook.txt",6
"JayZ_American Gangster_Party Life.txt",3
"JayZ_American Gangster_Pray.txt",6
"JayZ_American Gangster_Say Hello.txt",8
"JayZ_American Gangster_Success.txt",4
