"","V1"
"JayZ_American Gangster_Sweet.txt",6
"JayZ_Collision Course_Big Pimpin  Papercut.txt",4
"JayZ_Collision Course_Dirt Off Your Shoulder  Lying From You.txt",9
"JayZ_Collision Course_Izzo  In The End.txt",9
"JayZ_Collision Course_Jigga What  Faint.txt",7
"JayZ_Collision Course_Numb  Encore.txt",4
"JayZ_Collision Course_Points Of Authority  99 Problems  One Step Closer.txt",8
"JayZ_In My Lifetime Vol. 1_Face Off.txt",1
"JayZ_In My Lifetime Vol. 1_Friend Or Foe '98.txt",4
"JayZ_In My Lifetime Vol. 1_I Know What Girls Like.txt",10
"JayZ_In My Lifetime Vol. 1_Imaginary Player.txt",4
"JayZ_In My Lifetime Vol. 1_Lucky Me.txt",6
"JayZ_In My Lifetime Vol. 1_Sunshine.txt",4
"JayZ_In My Lifetime Vol. 1_The Streets Is Watching.txt",4
"JayZ_In My Lifetime Vol. 1_Where I'm From.txt",4
"JayZ_In My Lifetime Vol. 1_Who You Wit II.txt",4
"JayZ_In My Lifetime Vol. 1_You Must Love Me.txt",6
"JayZ_Kingdom Come_30 Something.txt",9
"JayZ_Kingdom Come_44 Fours.txt",4
"JayZ_Kingdom Come_Anything.txt",6
"JayZ_Kingdom Come_Beach Chair.txt",6
"JayZ_Kingdom Come_Dig A Hole.txt",12
"JayZ_Kingdom Come_Do U Wanna Ride.txt",4
"JayZ_Kingdom Come_Hollywood.txt",6
"JayZ_Kingdom Come_I Made It.txt",6
"JayZ_Kingdom Come_Kingdom Come.txt",15
"JayZ_Kingdom Come_Lost One.txt",8
"JayZ_Kingdom Come_Minority Report.txt",6
"JayZ_Kingdom Come_Oh My God.txt",6
"JayZ_Kingdom Come_Show Me What You Got.txt",12
"JayZ_Kingdom Come_The Prelude.txt",4
"JayZ_Kingdom Come_Trouble.txt",6
"JayZ_Reasonable Doubt_22 Two's.txt",6
"JayZ_Reasonable Doubt_Bring It On.txt",4
"JayZ_Reasonable Doubt_Brooklyn's Finest.txt",4
"JayZ_Reasonable Doubt_Can I Live II.txt",4
"JayZ_Reasonable Doubt_Can I Live.txt",4
"JayZ_Reasonable Doubt_Can't Knock The Hustle.txt",4
"JayZ_Reasonable Doubt_Cashmere Thoughts.txt",4
"JayZ_Reasonable Doubt_Coming Of Age.txt",4
"JayZ_Reasonable Doubt_D'Evils.txt",6
"JayZ_Reasonable Doubt_Dead Presidents II.txt",4
"JayZ_Reasonable Doubt_Feelin It.txt",4
"JayZ_Reasonable Doubt_Friend Or Foe.txt",11
"JayZ_Reasonable Doubt_Politics As Usual.txt",4
"JayZ_Reasonable Doubt_Regrets.txt",7
"JayZ_The Best Of Both Worlds_Break Up To Make Up.txt",4
"JayZ_The Best Of Both Worlds_Get This Money.txt",4
"JayZ_The Best Of Both Worlds_Green Light.txt",4
"JayZ_The Best Of Both Worlds_Honey.txt",4
"JayZ_The Best Of Both Worlds_It Aint Personal.txt",4
"JayZ_The Best Of Both Worlds_Shorty.txt",4
"JayZ_The Best Of Both Worlds_Somebodys Girl.txt",4
"JayZ_The Best Of Both Worlds_Take You Home With Me aka Body.txt",4
"JayZ_The Best Of Both Worlds_The Best Of Both Worlds.txt",4
"JayZ_The Best Of Both Worlds_The Streets.txt",6
"JayZ_The Black Album_99 Problems.txt",8
"JayZ_The Black Album_Allure.txt",4
"JayZ_The Black Album_Change Clothes.txt",18
"JayZ_The Black Album_December 4th.txt",6
"JayZ_The Black Album_Dirt Off Your Shoulder.txt",9
"JayZ_The Black Album_Encore.txt",4
"JayZ_The Black Album_Justify My Thug.txt",4
"JayZ_The Black Album_Lucifer.txt",6
"JayZ_The Black Album_Moment Of Clarity.txt",6
"JayZ_The Black Album_My 1st Song.txt",4
"JayZ_The Black Album_Threat.txt",6
"JayZ_The Blueprint 2: The Gift & The Curse_03 Bonnie  Clyde.txt",3
"JayZ_The Blueprint 2: The Gift & The Curse_2 Many Hoes.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_A Ballad For The Fallen Soldier.txt",6
"JayZ_The Blueprint 2: The Gift & The Curse_A Dream.txt",7
"JayZ_The Blueprint 2: The Gift & The Curse_All Around The World.txt",9
"JayZ_The Blueprint 2: The Gift & The Curse_As One.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Blueprint 2.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Diamond Is Forever.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Excuse Me Miss.txt",14
"JayZ_The Blueprint 2: The Gift & The Curse_Guns  Roses.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Hovi Baby.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_I Did It My Way.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Meet The Parents.txt",6
"JayZ_The Blueprint 2: The Gift & The Curse_Poppin Tags.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Show You How.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_Some How Some Way.txt",1
"JayZ_The Blueprint 2: The Gift & The Curse_Some People Hate.txt",6
"JayZ_The Blueprint 2: The Gift & The Curse_The Bounce.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_The Watcher 2.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_What They Gonna Do Part II.txt",4
"JayZ_The Blueprint 2: The Gift & The Curse_What They Gonna Do.txt",4
"JayZ_The Blueprint 3_A Star Is Born.txt",4
"JayZ_The Blueprint 3_Already Home.txt",18
"JayZ_The Blueprint 3_Empire State Of Mind.txt",4
"JayZ_The Blueprint 3_Hate.txt",18
"JayZ_The Blueprint 3_Off That.txt",9
"JayZ_The Blueprint 3_On To The Next One.txt",18
"JayZ_The Blueprint 3_Real As It Gets.txt",15
"JayZ_The Blueprint 3_Reminder.txt",18
"JayZ_The Blueprint 3_Run This Town.txt",4
"JayZ_The Blueprint 3_So Ambitious.txt",6
"JayZ_The Blueprint 3_Thank You.txt",6
"JayZ_The Blueprint 3_Venus Vs Mars.txt",18
"JayZ_The Blueprint 3_What We Talkin About.txt",8
"JayZ_The Blueprint 3_Young Forever.txt",6
"JayZ_The Blueprint_All I Need.txt",4
"JayZ_The Blueprint_Girls Girls Girls.txt",4
"JayZ_The Blueprint_Hola Hovito.txt",4
"JayZ_The Blueprint_Never Change.txt",4
"JayZ_The Blueprint_Renegade.txt",6
"JayZ_The Blueprint_Song Cry.txt",4
"JayZ_The Blueprint_Takeover.txt",4
"JayZ_The Blueprint_The Best Of Both Worlds.txt",4
"JayZ_The Blueprint_The Rulers Back.txt",4
"JayZ_The Blueprint_U Dont Know.txt",9
"JayZ_The Dynasty Roc La Familia_1900Hustler.txt",4
"JayZ_The Dynasty Roc La Familia_Change The Game.txt",4
"JayZ_The Dynasty Roc La Familia_Get Your Mind Right Mami.txt",4
"JayZ_The Dynasty Roc La Familia_Guilty Until Proven Innocent.txt",4
"JayZ_The Dynasty Roc La Familia_Holla.txt",4
"JayZ_The Dynasty Roc La Familia_Intro.txt",4
"JayZ_The Dynasty Roc La Familia_Parking Lot Pimpin.txt",4
"JayZ_The Dynasty Roc La Familia_Soon Youll Understand.txt",7
"JayZ_The Dynasty Roc La Familia_Squeeze 1st.txt",4
"JayZ_The Dynasty Roc La Familia_Stick 2 The Script.txt",4
"JayZ_The Dynasty Roc La Familia_Streets Is Talking.txt",4
"JayZ_The Dynasty Roc La Familia_The ROC.txt",4
"JayZ_The Dynasty Roc La Familia_This Cant Be Life.txt",4
"JayZ_The Dynasty Roc La Familia_Where Have You Been.txt",19
"JayZ_The Dynasty Roc La Familia_You Me Him And Her.txt",4
"JayZ_Unfinished Business_Big Chips.txt",4
"JayZ_Unfinished Business_Dont Let Me Die.txt",6
"JayZ_Unfinished Business_Feelin You In Stereo.txt",4
"JayZ_Unfinished Business_Mo Money.txt",4
"JayZ_Unfinished Business_Pretty Girls.txt",4
"JayZ_Unfinished Business_Shes Coming Home With Me.txt",4
"JayZ_Unfinished Business_Stop.txt",4
"JayZ_Unfinished Business_The Return.txt",9
"JayZ_Unfinished Business_We Got Em Goin.txt",4
"JayZ_Vol. 2...  Hard Knock Life_A Week Ago.txt",4
"JayZ_Vol. 2...  Hard Knock Life_If I Should Die.txt",6
"JayZ_Vol. 2...  Hard Knock Life_Intro  Hand It Down.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Intro - Hand It Down.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Its Alright.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Its Like That.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Money Aint A Thang.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Paper Chase.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Reservoir Dogs.txt",4
"JayZ_Vol. 2...  Hard Knock Life_Ride Or Die.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Anything.txt",6
"JayZ_Vol. 3... Life And Times Of S. Carter_Come And Get Me.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Do It Again.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Dope Man.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Girls Best Friend.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_NYMP.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Pop 4 Roc.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_S Carter.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Snoopy Track.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_So Ghetto.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Theres Been A Murder.txt",4
"JayZ_Vol. 3... Life And Times Of S. Carter_Things That U Do.txt",17
"JayZ_Vol. 3... Life And Times Of S. Carter_Watch Me.txt",4
"JayZ_Watch The Throne_20 Bag Shorty.txt",4
"JayZ_Watch The Throne_8 Miles And Runnin.txt",4
"Jealous.txt",13
"Jimmy Crack Corn.txt",16
"Judge's Daugthter.txt",17
"Jump.txt",3
"Jumpin' Jumpin' [Blu-Ray].txt",9
"Jungle.txt",8
"Just Don't Give A Shit.txt",16
"Just Give Me A Reason.txt",7
"Just Like a Pill [Album Version].txt",14
"Just Like a Pill.txt",14
"Just Like Fire (From ""Alice Through the Looking Glass"").txt",14
"Just Like Them.txt",10
"Just Lose It [Album Version].txt",11
"Just Lose It [Enhanced Video].txt",11
"Just Lose It.txt",11
"Just the Two of Us.txt",19
"Karaoke.txt",7
"Karma Police.txt",8
"Keep Ya Head Up.txt",7
"Kids [*].txt",8
"Kids.txt",8
"Kill Everybody.txt",10
"Kill the DJ.txt",1
"Killuminati.txt",6
"King Kunta.txt",9
"Kiss and Tell.txt",13
"Kitty Kat [DVD].txt",3
"Kitty Kat.txt",3
"Know Your Enemy.txt",10
"Know Yourself.txt",10
"Knowledge.txt",10
"Kyoto.txt",1
"Language.txt",1
"Last Flowers [*].txt",2
"Last Flowers [Live].txt",2
"Last Flowers.txt",2
"Last Night on Earth.txt",17
"Last Night.txt",7
"Last Song.txt",7
"Last Time.txt",7
"Leave Me Alone (I'm Lonely).txt",7
"Leave Me Alone im Lonely.txt",7
"Legend.txt",12
"Let The Groove Get In.txt",2
"Let's Take a Ride.txt",3
"Letterbomb.txt",7
"Life in Color [*].txt",15
"Life In Color.txt",15
"Life Is Worth Living.txt",6
"Light It Up.txt",20
"Light Up.txt",3
"Like I Love You (feat. Clipse).txt",13
"Like Toy Soldiers [Explicit Version].txt",16
"Like Toy Soldiers.txt",16
"Lil' Homies.txt",1
"Listen [Blu-Ray].txt",7
"Listen.txt",7
"Lord Knows.txt",6
"Lose Your Self.txt",16
"Lose Yourself [Multimedia Track].txt",16
"Lose Yourself.txt",16
"Lost In Paradise.txt",17
"Lost.txt",17
"Love Drought.txt",2
"Love Lockdown.txt",13
"Love Me Like You Do.txt",13
"Love on Top.txt",13
"Love Runs Out.txt",2
"Love the Way You Lie Pt. 2.txt",20
"Love the Way You Lie, Pt. 2.txt",13
"Love Yourself.txt",13
"Loveeeeeee Song.txt",13
"M! ssundaztodd.txt",20
"M!ssundaztood.txt",20
"Mad House [Explicit Version].txt",6
"Mad House.txt",6
"Made For You.txt",17
"Madonna.txt",8
"Mama's Just a Little Girl [KP Remix].txt",3
"Marchin On [Patriot Remix].txt",7
"Maria.txt",8
"Mark My Words.txt",6
"Marvins Room.txt",7
"Me, Myself and I     Fanfare) Fanfare) [Blu-Ray].txt",12
"Mean.txt",13
"Medicine Ball.txt",16
"Memphis.txt",13
"Mirrors.txt",13
"Miss Me [Explicit Version].txt",12
"Missing Persons 1 and 2.txt",7
"Mockingbird [CD-ROM Track].txt",18
"Mockingbird.txt",18
"Money to Blow.txt",18
"Money Trees.txt",9
"Monkey See Monkey Do.txt",3
"Motto [*].txt",1
"Motto.txt",1
"Mr. Mathers (Skit).txt",19
"Mr. Mathers [Skit].txt",19
"Music Box.txt",2
"Must Be the Ganja.txt",16
"My Darlin Baby.txt",18
"My Vietnam [DVD].txt",6
"My Vietnam [DVD][Live].txt",6
"N.I.*.*.E.R. (The Slave and the Master).txt",6
"Nature Feels.txt",17
"Needed Me.txt",13
"Never Again [*].txt",7
"Never Again.txt",7
"Never Ending.txt",7
"Never Let Me Down [*].txt",6
"Never Let Me Down.txt",6
"Never Let You Go.txt",13
"Never Say Never [Acoustic Version].txt",19
"Never Say Never [Acoustic] [Version].txt",19
"Never Say Never [Single Version] [Version].txt",19
"Never Say Never.txt",19
"No Angel.txt",13
"No Love Allowed.txt",15
"No Pressure (feat. Big Sean).txt",12
"No Tellin'.txt",8
"No, No, No, Pt. 2 [Blu-Ray].txt",17
"Nothin' Else.txt",15
"Nothing Left (feat. Will Heard).txt",7
"Nothing Like Us [Album Version] [Version].txt",20
"Nothing Like Us.txt",20
"Novacane [Edited Version].txt",17
"Novacane.txt",17
"November 14th [Chuck Inglish Remix].txt",18
"Now & Forever.txt",3
"One Dance (feat. Wizkid and Kyla).txt",14
"One Foot Wrong.txt",20
"One Less Lonely Girl [Video] [Multimedia].txt",20
"One Less Lonely Girl.txt",20
"One Life.txt",13
"One Night Only.txt",2
"One Time [Video] [Multimedia Track].txt",13
"One Time [Video] [Multimedia].txt",13
"One Time.txt",13
"Only One (feat. Paul McCartney).txt",7
"Only Thing I Ever Get For Christmas.txt",5
"Out of Town Girl.txt",11
"Over [Edited Version].txt",18
"Over [Explicit Version].txt",18
"Over My Dead Body.txt",14
"Paranoid [*].txt",10
"Paranoid.txt",10
"Party (feat. André 3000).txt",8
"Passenger.txt",13
"Pilot Jones.txt",18
"Poetic Justice.txt",18
"Pon de Replay [*][Mix].txt",2
"Pon de Replay [Instrumental].txt",2
"Pop Style (feat. The Throne).txt",4
"Pour It Up.txt",9
"Pray [#].txt",17
"Pray [Acoustic Version].txt",17
"Pray You Catch Me.txt",20
"Pray.txt",17
"Preach (feat. PARTYNEXTDOOR).txt",7
"Preacher.txt",6
"Pretty Hurts.txt",20
"Purpose.txt",7
"Pyd.txt",1
"Pyramids.txt",14
"Radio.txt",19
"Ragga Bomb.txt",6
"Raging (feat. Kodaline).txt",17
"Raining Men.txt",14
"Ransom.txt",1
"Rather Die Young.txt",13
"Real.txt",13
"Recess.txt",2
"Rehab.txt",12
"Reptile's Theme.txt",2
"Resentment.txt",7
"Rigamortis.txt",16
"Right for Me.txt",12
"Right Hand.txt",13
"Right Here.txt",12
"Right Now.txt",12
"Ring Off.txt",13
"Ring the Alarm      ilhouse Confessions) [Blu-Ray].txt",18
"Robocop.txt",2
"Roc Me Out.txt",2
"Rock Your Body [Album Version].txt",2
"Rock Your Body.txt",2
"Rockstar 101 [Explicit Version].txt",5
"Rockstar 101.txt",5
"Rude Boy.txt",14
"Ruffneck (Full Flex).txt",14
"Run the World (Girls).txt",11
"Runaway [Edited Version].txt",14
"Runaway [Explicit Version].txt",14
"Runaway Love.txt",13
"Russian Roulette [Explicit Version].txt",17
"Russian Roulette.txt",17
"S.O.S..txt",17
"S&M [Album Version] [Version].txt",2
"S&M.txt",2
"Sandcastles.txt",19
"Santa Claus Is Coming To Town.txt",5
"Say It [Soul Seekerz Remix] [*].txt",17
"Say It [Soul Seekerz Remix].txt",17
"Say My Name [Blu-Ray].txt",11
"Say Something.txt",7
"Say Whats Real.txt",1
"Say You Will.txt",15
"Scared of Lonely [*].txt",17
"Scared of Lonely.txt",17
"Scary Monsters and Nice Sprites [Kaskade Remix].txt",10
"Scary Monsters and Nice Sprites.txt",2
"Scatta.txt",8
"Secrets.txt",13
"See You in My Nightmares.txt",10
"Señorita.txt",17
"She Don't Like the Lights.txt",13
"Shot for Me.txt",7
"Shut It Down.txt",11
"Shut Up and Drive [Multimedia Track].txt",5
"Shut Up and Drive [Radio Edit].txt",5
"Shut Up and Drive [the Wideboys].txt",5
"Shut Up and Drive.txt",5
"Sierra Leone.txt",16
"Silent Night.txt",6
"Sing About Me, I'm Dying of Thirst.txt",19
"Skin.txt",18
"Smile.txt",20
"Someday At Christmas.txt",11
"Something I Need.txt",6
"Sorry.txt",7
"SOS.txt",17
"Spaceship Coupe.txt",15
"Spaceship.txt",18
"Star67.txt",8
"Started From the Bottom.txt",9
"Stay.txt",14
"Still on My Brain.txt",17
"Stole the Show (feat. Parson James).txt",12
"Stop and Stare.txt",7
"Stranger.txt",20
"Strawberry Bubblegum.txt",15
"Street Lights [*].txt",8
"Street Lights.txt",8
"Stuck In The Moment.txt",13
"Stupid In Love.txt",8
"Successful.txt",16
"Suit & Tie.txt",12
"Suit and Tie.txt",12
"Summit.txt",17
"Sunset.txt",18
"Super Rich Kids.txt",20
"Take a Bow.txt",12
"Take It from Here.txt",13
"Take You Down [Freestyle].txt",1
"Take You.txt",14
"That Girl.txt",13
"That La, La, La.txt",12
"The Christmas Song (Chestnuts Roasting On an Open Fire) [feat. Usher].txt",5
"The Feeling (feat. Halsey).txt",13
"The Motion.txt",15
"The Resistance.txt",18
"There Will Be Tears.txt",7
"Thinkin Bout You.txt",8
"Thinkin' Bout You.txt",8
"Thinking About You.txt",8
"Thought of You.txt",13
"TKO.txt",11
"Towards the Sun (From The ""Home"" Soundtrack).txt",20
"Track 8.txt",20
"Trap Door.txt",14
"True Blood.txt",2
"Trust.txt",13
"Try It Out.txt",14
"Tunnel Vision.txt",18
"U Smile.txt",20
"Umberella.txt",14
"Umbrella [Seamus Haji & Paul Emanuel].txt",14
"Umbrella.txt",14
"Unfaithful [Instrumental].txt",13
"Unfaithful [Radio Edit].txt",13
"Up.txt",14
"Uptown.txt",2
"Used To (feat. Lil Wayne).txt",8
"Wait For a Minute.txt",12
"Wait Your Turn.txt",5
"We All Try.txt",7
"We Are (feat. Nas).txt",13
"Weekends!!!.txt",2
"Weekends.txt",2
"What Do You Mean?.txt",15
"What You Wanted.txt",13
"What's Hatnin'.txt",8
"Where Are You Now?.txt",17
"Worst Behavior.txt",9
"Worthy Of [*].txt",6
"Yellow Raincoat [Album Version] [Version].txt",19
"Yellow Raincoat.txt",19
"You & The 6.txt",6
"You Ain't Gotta Lie (Momma Said).txt",12
